no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
SAO FRANCISCO                                     ;3106200                                                                                             ;31255180            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SANTA ROSA                                                    ;0                                                                                                   ;0;34;0;0;14;12;0;0;5;31362140                                                                                            
POMPEIA                                           ;3106200                                                                                             ;30285010            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL POMPEIA                                                       ;0                                                                                                   ;0;33;0;0;23;20;0;0;8;31362158                                                                                            
FERNAO DIAS                                       ;3106200                                                                                             ;31920540            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SAO MARCOS                                                    ;0                                                                                                   ;0;36;0;0;25;17;0;0;8;31362166                                                                                            
SERRANO                                           ;3106200                                                                                             ;30882660            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SARANDI                                                       ;1                                                                                                   ;0;35;0;0;14;23;0;0;9;31362174                                                                                            
SERRA VERDE VENDA NOVA                            ;3106200                                                                                             ;31630120            ;UMEI MINAS CAIXA                                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31362182                                                                                            
CENACULO                                          ;3106200                                                                                             ;31615170            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL SERRA VERDE                                                   ;0                                                                                                   ;0;31;0;0;18;21;0;0;7;31362190                                                                                            
TAQUARIL                                          ;3106200                                                                                             ;30290035            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ALTO VERA CRUZ                                                ;0                                                                                                   ;0;32;0;0;22;19;0;0;6;31362204                                                                                            
TIROL                                             ;3106200                                                                                             ;30662408            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL ITAIPU                                                        ;0                                                                                                   ;0;24;0;0;18;18;0;0;9;31362212                                                                                            
CONFISCO                                          ;3106200                                                                                             ;31360395            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL URCA CONFISCO                                                 ;0                                                                                                   ;0;36;0;0;24;21;0;0;14;31362220                                                                                            
XODO MARIZE                                       ;3106200                                                                                             ;31744425            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL XODO MARISE                                                   ;0                                                                                                   ;0;19;0;0;12;10;0;0;4;31362239                                                                                            
JARDIM LEBLON                                     ;3106200                                                                                             ;31540400            ;ESCOLA MUNICIPAL JARDIM LEBLON                                                                      ;1                                                                                                   ;0;45;31;0;21;31;23;0;13;31362247                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31340000            ;COLEGIO COPBH - UNIDADE II                                                                          ;1                                                                                                   ;0;25;17;11;9;17;11;3;1;31362417                                                                                            
MINASCAIXA                                        ;3106200                                                                                             ;31615140            ;CENTRO PEDAGOGICO CASA VERDE                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31362433                                                                                            
JARDIM VITORIA                                    ;3106200                                                                                             ;31970626            ;ESCOLA MUNICIPAL JARDIM VITORIA                                                                     ;1                                                                                                   ;0;41;41;0;36;32;32;0;14;31362581                                                                                            
ERMELINDA                                         ;3106200                                                                                             ;31250300            ;CENTRO EDUCACIONAL JOAO DEMICHELI                                                                   ;0                                                                                                   ;0;9;6;0;0;8;5;0;0;31362662                                                                                            
SAO PEDRO                                         ;3106200                                                                                             ;30330012            ;ESCOLA INFANTIL MANIA DE CRIANCA                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31362689                                                                                            
CENTRO                                            ;3106200                                                                                             ;30190001            ;ESCOLA TECNICA TREINAR                                                                              ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31362743                                                                                            
VALE DO JATOBA BARREIRO                           ;3106200                                                                                             ;30664790            ;INSTITUTO CAMINHAR UNIDADE VALE DO JATOBA                                                           ;0                                                                                                   ;0;10;0;0;1;14;0;0;1;31362859                                                                                            
SAO GERALDO                                       ;3106200                                                                                             ;31050280            ;NUCLEO PEDAGOGICO CRESCER                                                                           ;0                                                                                                   ;0;3;0;0;0;5;0;0;0;31362867                                                                                            
ITAPOA                                            ;3106200                                                                                             ;31710030            ;UNIVERSIDADE JOSE DO ROSARIO VELLANO - CAMPUS BELO HORIZONTE - UNIDADE ITAPOA - PRONATEC            ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363049                                                                                            
INDAIA                                            ;3106200                                                                                             ;31270020            ;UNIVERSIDADE JOSE DO ROSARIO VELLANO - CAMPUS BELO HORIZONTE - UNIDADE JARAGUA - PRONATEC           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363057                                                                                            
CENTRO                                            ;3106200                                                                                             ;30170121            ;ESCOLA TECNICA PROFISSIONAL DE NIVEL MEDIO DO SITIPAN - MG                                          ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363081                                                                                            
EUROPA                                            ;3106200                                                                                             ;31620050            ;ESCOLA ENSINANDO - POLO PAMPULHA                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363235                                                                                            
CENTRO                                            ;3106200                                                                                             ;30160011            ;COL CHROMOS CENTRO                                                                                  ;1                                                                                                   ;0;22;0;22;14;3;0;3;1;31363294                                                                                            
ACAIACA                                           ;3106200                                                                                             ;31995090            ;COLEGIO MUNDO DA IMAGINACAO                                                                         ;0                                                                                                   ;0;7;4;0;0;8;5;0;0;31363308                                                                                            
COPACABANA                                        ;3106200                                                                                             ;31540510            ;COLEGIO ERIDA DURAES                                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363464                                                                                            
CENTRO                                            ;3106200                                                                                             ;30190050            ;CENTRO DE ENSINO GRAU TECNICO - UNIDADE BELO HORIZONTE                                              ;1                                                                                                   ;0;12;0;0;1;83;0;0;3;31363790                                                                                            
BARRO PRETO                                       ;3106200                                                                                             ;30110064            ;INSTITUTO BELO HORIZONTE DE ENSINO SUPERIOR - IBHES - PRONATEC                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363871                                                                                            
SAO PEDRO                                         ;3106200                                                                                             ;30330010            ;CLIC - CENTRO LUDICO DE INTERACAO E CULTURA                                                         ;1                                                                                                   ;0;15;9;0;7;8;5;0;2;31363880                                                                                            
VILA PARIS                                        ;3106200                                                                                             ;30380650            ;FACULDADE PITAGORAS DE BELO HORIZONTE - CAMPUS CIDADE ACADEMICA                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31363898                                                                                            
MANTIQUEIRA                                       ;3106200                                                                                             ;31660240            ;INSTITUTO EDUCACIONAL MEI                                                                           ;1                                                                                                   ;0;3;0;0;0;3;0;0;0;31363936                                                                                            
