no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
FLORESTA                                          ;3106200                                                                                             ;31015300            ;ESCOLA LOGOSOFICA RAUMSOL                                                                           ;0                                                                                                   ;0;3;0;0;0;3;0;0;0;31258172                                                                                            
GUTIERREZ                                         ;3106200                                                                                             ;30441025            ;CENTRO EDUCACIONAL TRANSMUTARE LTDA GUTIERREZ                                                       ;1                                                                                                   ;0;20;4;0;0;14;1;0;0;31258181                                                                                            
GUTIERREZ                                         ;3106200                                                                                             ;30535570            ;INSTITUTO CONVIVER                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258229                                                                                            
GAMELEIRA                                         ;3106200                                                                                             ;31510020            ;INSTITUTO PEDAGOGICO GOLFINHO AZUL                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258237                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30421314            ;INSTITUTO EDUCACIONAL ARCO IRIS                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258253                                                                                            
FLORESTA                                          ;3106200                                                                                             ;31015220            ;PASSO A PASSO CENTRO INTEGRADO DA CRIANCA                                                           ;0                                                                                                   ;0;7;1;0;0;7;1;0;0;31258261                                                                                            
PRADO                                             ;3106200                                                                                             ;30411105            ;INST EDUC AS GEMEAS                                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258270                                                                                            
BARROCA                                           ;3106200                                                                                             ;30421214            ;INST EDUC VIRA CAMBALHOTA                                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258288                                                                                            
SANTA TEREZA                                      ;3106200                                                                                             ;31010470            ;ESCOLA CRISTA METODISTA                                                                             ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31258296                                                                                            
ESPLANADA                                         ;3106200                                                                                             ;30280240            ;ESC INF PEQUENO PRINCIPE                                                                            ;0                                                                                                   ;0;7;4;0;1;8;5;0;1;31258334                                                                                            
SAO LUCAS                                         ;3106200                                                                                             ;30240090            ;CRECHE CENTRO MATERNO INFANTIL ANA MARIA DE CASTRO VEADO                                            ;0                                                                                                   ;0;5;0;0;0;4;0;0;0;31258351                                                                                            
PAMPULHA                                          ;3106200                                                                                             ;31270901            ;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL DA UFMG - CENTRO PEDAGOGICO                                ;0                                                                                                   ;1;109;60;0;71;33;18;0;16;31258377                                                                                            
PALMARES                                          ;3106200                                                                                             ;31155480            ;COL MAXIMUS UNID PALMARES                                                                           ;1                                                                                                   ;0;27;23;14;0;19;16;3;0;31258644                                                                                            
CENTRO                                            ;3106200                                                                                             ;30130002            ;CARRIER SISTEMA DE ENSINO                                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31259217                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30110013            ;FHEMIG ESC DE FORM PROFISSIONAL                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31259438                                                                                            
CENTRO                                            ;3106200                                                                                             ;30120080            ;SUPLETIVO VISAO                                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31260479                                                                                            
BELVEDERE                                         ;3106200                                                                                             ;30320510            ;COL EDNA RORIZ                                                                                      ;1                                                                                                   ;0;25;22;14;0;14;9;3;0;31260631                                                                                            
CENTRO                                            ;3106200                                                                                             ;30120050            ;ESCOLA DE ENFERMAGEM SAUDE E VIDA                                                                   ;0                                                                                                   ;0;11;0;0;0;8;0;0;0;31260649                                                                                            
CENTRO                                            ;3106200                                                                                             ;30110001            ;INSTITUTO MINEIRO EDUCACIONAL QUADRANGULAR                                                          ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31260860                                                                                            
UNIAO                                             ;3106200                                                                                             ;31160290            ;INSTITUTO EDUCACIONAL SANTA LUZIA                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31261050                                                                                            
BARREIRO                                          ;3106200                                                                                             ;30642040            ;INSTITUTO INOVAR                                                                                    ;1                                                                                                   ;0;7;0;0;0;9;0;0;0;31261696                                                                                            
DOM BOSCO                                         ;3106200                                                                                             ;30850650            ;NUCLEO EDUCACIONAL ESTRIPULIA                                                                       ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31261831                                                                                            
COPACABANA                                        ;3106200                                                                                             ;31540510            ;SISTEMA DE ENSINO ERIDA DURAES                                                                      ;0                                                                                                   ;0;17;15;0;0;14;12;0;0;31261840                                                                                            
BURITIS                                           ;3106200                                                                                             ;30575810            ;INST HOFMAN BRACCINI                                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31261858                                                                                            
SANTA AMELIA                                      ;3106200                                                                                             ;31560260            ;DINAMICA CENTRO EDUCACIONAL                                                                         ;0                                                                                                   ;0;14;10;0;0;14;9;0;0;31261866                                                                                            
SERRA                                             ;3106200                                                                                             ;30220080            ;ESCOLA INFANTIL O BARQUINHO AMARELO                                                                 ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31261874                                                                                            
SANTA MONICA                                      ;3106200                                                                                             ;31520390            ;FAMA COLEGIO                                                                                        ;1                                                                                                   ;0;19;11;0;9;13;8;0;3;31262048                                                                                            
CANDELARIA                                        ;3106200                                                                                             ;31510160            ;COLEGIO CRISTAO CRESCER                                                                             ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31262056                                                                                            
BARREIRO                                          ;3106200                                                                                             ;30640460            ;HOTELZINHO ESC INF PASSO A PASSO                                                                    ;0                                                                                                   ;0;2;0;0;0;4;0;0;0;31262226                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30421480            ;CENTRO EDUCACIONAL RENOVAR                                                                          ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31262242                                                                                            
DIAMANTE                                          ;3106200                                                                                             ;30660310            ;COLEGIO SANTA PAULA                                                                                 ;1                                                                                                   ;0;17;15;0;12;11;9;0;3;31262251                                                                                            
GUARANI                                           ;3106200                                                                                             ;31840090            ;INSTITUTO EDUCACIONAL EBENEZER                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31262269                                                                                            
;3106200                                                                                             ;30120070            ;CEP BELO HORIZONTE                                                                                  ;1                                                                                                   ;0;72;0;0;24;91;0;0;9;31262641                                                                                            
BARROCA                                           ;3106200                                                                                             ;30431058            ;INSTITUTO EDUCACIONAL VIRA MUNDO                                                                    ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31265985                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30260180            ;INST EDUC ANJINHO DOURADO                                                                           ;0                                                                                                   ;0;3;0;0;0;3;0;0;0;31267040                                                                                            
CARLOS PRATES                                     ;3106200                                                                                             ;30710470            ;NUCLEO EDUCACIONAL CRESCER E LAPIS DE COR                                                           ;0                                                                                                   ;0;2;0;0;0;4;0;0;0;31267058                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30150240            ;ESCOLA TECNICA DA SANTA CASA                                                                        ;1                                                                                                   ;0;18;0;0;5;28;0;0;1;31267082                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30140100            ;SIEMG SISTEMA INTEGRADO DE ENSINO DE MINAS GERAIS                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31267333                                                                                            
CARLOS PRATES                                     ;3106200                                                                                             ;30710130            ;CENTRO EDUCACIONAL CARLOS PRATES - CECAP                                                            ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31267490                                                                                            
FLAVIO DE OLIVEIRA                                ;3106200                                                                                             ;30626540            ;COLEGIO CORACAO DE ESTUDANTE                                                                        ;0                                                                                                   ;0;33;31;0;7;26;22;0;2;31267511                                                                                            
BARREIRO DE BAIXO                                 ;3106200                                                                                             ;30640090            ;RECANTO INFANTIL RAIO DE SOL                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31267546                                                                                            
ESPLANADA                                         ;3106200                                                                                             ;30280230            ;ESCOLA CRISTA DA POMPEIA                                                                            ;0                                                                                                   ;0;4;0;0;1;4;0;0;1;31267554                                                                                            
LAGOINHA                                          ;3106200                                                                                             ;31210010            ;SENAI BELO HORIZONTE CFP AMERICO RENE GIANNETTI                                                     ;1                                                                                                   ;1;14;0;0;0;19;0;0;0;31267571                                                                                            
HORTO                                             ;3106200                                                                                             ;31035480            ;SENAI BELO HORIZONTE CETEL CESAR RODRIGUES                                                          ;0                                                                                                   ;0;16;0;0;0;21;0;0;0;31267589                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31035480            ;SENAI BELO HORIZONTE CA CENTRO AUTOMOTIVO                                                           ;0                                                                                                   ;1;11;0;0;2;12;0;0;2;31267678                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31365150            ;C EDUC RHEMA                                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31267732                                                                                            
JARDIM AMERICA                                    ;3106200                                                                                             ;30421480            ;INST SAINT MICHEL                                                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31267741                                                                                            
RIO BRANCO                                        ;3106200                                                                                             ;31535265            ;INSTITUTO EDUCACIONAL RIO BRANCO                                                                    ;0                                                                                                   ;0;20;15;0;11;14;9;0;3;31270024                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31365190            ;INST EDUC BAMBALALAO                                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31271861                                                                                            
FLORESTA                                          ;3106200                                                                                             ;30150160            ;ESC PROT ODONT DR DAGOBERTO FERNANDES                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273236                                                                                            
SERRANO                                           ;3106200                                                                                             ;30882720            ;EDUCANDARIO ESTRELAS DO FUTURO                                                                      ;1                                                                                                   ;0;18;17;0;15;11;10;0;6;31273244                                                                                            
BRASIL INDUSTRIAL                                 ;3106200                                                                                             ;30626070            ;ESCOLA MUNICIPAL UNIAO COMUNITARIA                                                                  ;1                                                                                                   ;0;39;33;0;27;29;25;0;14;31273252                                                                                            
PALMARES                                          ;3106200                                                                                             ;31155710            ;INST EDUC MIRANDA OTTONI                                                                            ;0                                                                                                   ;0;4;0;0;0;5;0;0;0;31273660                                                                                            
ALIPIO DE MELO                                    ;3106200                                                                                             ;30840160            ;CENTRO PSICOPEDAGOGICO CRESCER                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273678                                                                                            
OURO PRETO                                        ;3106200                                                                                             ;31310520            ;INSTITUTO EDUCACIONAL PIRILAMPO                                                                     ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273708                                                                                            
CASTELO                                           ;3106200                                                                                             ;30840480            ;COLEGUIUM - UNIDADE MANACAS                                                                         ;1                                                                                                   ;0;15;11;0;4;14;10;0;1;31273724                                                                                            
INDAIA                                            ;3106200                                                                                             ;31270020            ;ESCOLA MUNICIPAL DE EDUCACAO INFANTIL HENFIL                                                        ;1                                                                                                   ;0;13;0;0;6;10;0;0;4;31273732                                                                                            
CASTELO                                           ;3106200                                                                                             ;31330160            ;INSTITUTO PEDAGOGICO INOVAR                                                                         ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273759                                                                                            
FLORAMAR                                          ;3106200                                                                                             ;31742039            ;INSTITUTO EDUCACIONAL MUNDO ENCANTADO FLORAMAR                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273767                                                                                            
FLORESTA                                          ;3106200                                                                                             ;30150060            ;ESC BRINCAR UNID PEDAG                                                                              ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31273783                                                                                            
CAMARGOS                                          ;3106200                                                                                             ;30520400            ;INST EDUC DO SABER                                                                                  ;0                                                                                                   ;0;6;5;0;0;7;5;0;0;31273791                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30260100            ;INAP INST ARTE E PROJETO                                                                            ;1                                                                                                   ;0;11;0;0;0;4;0;0;0;31274666                                                                                            
CENTRO                                            ;3106200                                                                                             ;30120910            ;SENAC C FORM PROFIS DE B HORIZONTE                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31274674                                                                                            
SAGRADA FAMILIA                                   ;3106200                                                                                             ;31035480            ;SENAI BELO HORIZONTE CECOTEG SERGIO DE FREITAS PACHECO                                              ;0                                                                                                   ;0;5;0;0;0;5;0;0;0;31274682                                                                                            
VENDA NOVA                                        ;3106200                                                                                             ;31510050            ;ESCOLA DE ENFERMAGEM DO HOSPITAL EVANGELICO                                                         ;0                                                                                                   ;0;14;0;0;0;16;0;0;0;31274861                                                                                            
SANTA EFIGENIA                                    ;3106200                                                                                             ;30150281            ;INSTITUTO AMAE DA CRIANCA                                                                           ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31276049                                                                                            
GUARANI                                           ;3106200                                                                                             ;31950500            ;INST EDUC PLANETA INFANTIL                                                                          ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31276766                                                                                            
UNIAO                                             ;3106200                                                                                             ;31160330            ;ESCOLA BATISTA UNIAO                                                                                ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31276774                                                                                            
SERRA                                             ;3106200                                                                                             ;30220110            ;MIUDINHOS CENTRO DE EDUCACAO INFANTIL                                                               ;1                                                                                                   ;0;12;0;0;0;12;0;0;0;31276782                                                                                            
NOVA SUISSA                                       ;3106200                                                                                             ;30421265            ;NUCLEO EDUCACIONAL SER FELIZ                                                                        ;0                                                                                                   ;0;3;0;0;0;3;0;0;0;31276804                                                                                            
SAO PAULO                                         ;3106200                                                                                             ;31910130            ;FIEMG FORM GERENCIAL UNID VI                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31277665                                                                                            
CAMARGOS                                          ;3106200                                                                                             ;30520450            ;INSTITTUTO PEDAGOGICO EDUCARTE                                                                      ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31278271                                                                                            
SANTA TEREZINHA                                   ;3106200                                                                                             ;31365270            ;CENTRO EDUCACIONAL PLAFT                                                                            ;1                                                                                                   ;0;13;8;0;0;11;6;0;0;31278297                                                                                            
CONJUNTO TEIXEIRA DIAS                            ;3106200                                                                                             ;30644340            ;CENTRO PEDAGOGICO AMARELINHA                                                                        ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31278301                                                                                            
MILIONARIOS BARREIRO                              ;3106200                                                                                             ;30620080            ;INSTITUTO EDUCACIONAL PERNALONGA- CEDEF                                                             ;1                                                                                                   ;0;3;1;0;0;4;1;0;0;31278327                                                                                            
PADRE EUSTAQUIO                                   ;3106200                                                                                             ;30720340            ;INST EDUC CRIANCA E ARTE                                                                            ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31278335                                                                                            
GUARANI                                           ;3106200                                                                                             ;31840220            ;C PEDAG CRER E SER                                                                                  ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31278343                                                                                            
FLORESTA                                          ;3106200                                                                                             ;30150110            ;ESCOLA CASTELINHO ENCANTADO                                                                         ;0                                                                                                   ;0;4;0;0;0;6;0;0;0;31278351                                                                                            
SANTO AGOSTINHO                                   ;3106200                                                                                             ;30180002            ;ENFERMIG ESC DE ENFERM DE MG                                                                        ;1                                                                                                   ;0;4;0;0;0;3;0;0;0;31279391                                                                                            
CEU AZUL                                          ;3106200                                                                                             ;31578565            ;SISTEMA MASTER DE ENSINO                                                                            ;1                                                                                                   ;0;8;7;0;0;6;5;0;0;31279901                                                                                            
SANTO ANTONIO                                     ;3106200                                                                                             ;30330220            ;INSTITUTO CRESCER - CENTRO EDUCACIONAL DA CRIANCA                                                   ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31280127                                                                                            
CENTRO                                            ;3106200                                                                                             ;30130004            ;CENTRO DE FORMACAO ARTISTICA - CEFAR FUNDACAO CLOVIS SALGADO                                        ;0                                                                                                   ;0;20;0;0;0;10;0;0;0;31280526                                                                                            
LINDEIA BARREIRO                                  ;3106200                                                                                             ;30690580            ;CRECHE COMUNITARIA MARIA FLORIPES                                                                   ;0                                                                                                   ;0;9;0;0;0;9;0;0;0;31281301                                                                                            
REGINA BARREIRO                                   ;3106200                                                                                             ;30692280            ;CRECHE COMUNITARIA MARIA BESSA                                                                      ;0                                                                                                   ;0;8;0;0;2;8;0;0;2;31281310                                                                                            
VILA CEMIG                                        ;3106200                                                                                             ;30624350            ;CRECHE COMUNITARIA DA VILA CEMIG                                                                    ;0                                                                                                   ;0;6;0;0;0;6;0;0;0;31281328                                                                                            
VISTA ALEGRE                                      ;3106200                                                                                             ;30512700            ;CRECHE INFANTIL PINGO DAGUA                                                                         ;0                                                                                                   ;0;10;0;0;0;10;0;0;0;31281336                                                                                            
VILA BARRAGEM SANTA LUCIA                         ;3106200                                                                                             ;30335522            ;CRECHE EDUCACIONAL NASCER DA ESPERANCA                                                              ;0                                                                                                   ;0;11;0;0;1;11;0;0;1;31281344                                                                                            
PRIMEIRO DE MAIO                                  ;3106200                                                                                             ;31810000            ;CRECHE AGOSTINHO CANDIDO SOUZA                                                                      ;0                                                                                                   ;0;8;0;0;0;7;0;0;0;31281379                                                                                            
SAO BERNARDO                                      ;3106200                                                                                             ;31741380            ;CRECHE ASSISTENCIAL SAO BERNARDO                                                                    ;0                                                                                                   ;0;6;0;0;0;6;0;0;0;31281387                                                                                            
SAO LUCAS                                         ;3106200                                                                                             ;30240190            ;CRECHE VICENTINA DO SANTISSIMO SACRAMENTO                                                           ;0                                                                                                   ;0;5;0;0;0;5;0;0;0;31281395                                                                                            
CARLOS PRATES                                     ;3106200                                                                                             ;30710320            ;CENTRO DE EDUCACAO INFANTIL SAO FRANCISCO                                                           ;0                                                                                                   ;1;9;0;0;0;10;0;0;0;31281409                                                                                            
VISTA ALEGRE                                      ;3106200                                                                                             ;30512570            ;CRECHE SONHO REALIZADO                                                                              ;0                                                                                                   ;0;7;0;0;0;7;0;0;0;31281417                                                                                            
